,tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,mtf
0,0MML29A,BSE,240513284,INE05F407CE8,CNC,0,10,0,0,10,0,23/08/2025 00:00,{},10,0,0,,TRUE,0,0,1000,0,-1000,-100,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
1,DATAPATTNS,NSE,1883649,INE0IX101010,CNC,0,3,0,0,3,0,23/08/2025 00:00,{},3,0,0,,FALSE,2892.616666,2590.6,2599.9,-906.049998,-9.3,-0.357706066,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
2,EMSLIMITED,NSE,4759809,INE0OV601013,CNC,0,30,0,0,30,0,23/08/2025 00:00,{},30,0,0,,FALSE,686.993333,556.9,556.7,-3902.79999,0.1999999999999318,0.035925992455529326,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
3,GABRIEL,NSE,277761,INE524A01029,CNC,0,39,0,0,39,0,23/08/2025 00:00,{},39,0,0,,FALSE,540.874358,1192.9,1200,25429.000038000002,-7.1,-0.591666667,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
4,GRAVITA,BSE,136520196,INE024L01027,CNC,0,14,0,0,14,0,23/08/2025 00:00,{},14,0,0,,FALSE,2004.953571,1726.85,1733.4,-3893.449994,-6.55,-0.377870082,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
5,HITECH,BSE,139113220,INE106T01025,CNC,0,95,0,0,95,0,23/08/2025 00:00,{},95,0,0,,FALSE,129.344631,86.75,88.48,-4046.489945,-1.73,-1.955244123,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
6,IONEXCHANG,NSE,417281,INE570A01022,CNC,0,38,0,0,38,0,23/08/2025 00:00,{},38,0,0,,FALSE,608.95921,444.85,451.75,-6236.14998,-6.9,-1.52739347,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
7,JKIL,NSE,3908097,INE576I01022,CNC,0,30,0,0,30,0,23/08/2025 00:00,{},30,0,0,,FALSE,741.523333,649.65,668.85,-2756.19999,-19.2,-2.870598789,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
8,JSFB,NSE,5801729,INE953L01027,CNC,0,56,0,0,56,0,23/08/2025 00:00,{},56,0,0,,FALSE,483.646428,496.3,485.35,708.6000319999998,10.949999999999989,2.256103842587821,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
9,NUVAMA,NSE,4792577,INE531F01015,CNC,0,1,0,0,1,0,23/08/2025 00:00,{},1,0,0,,FALSE,6529,6980.5,6909.5,451.5,71,1.0275707359432664,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
10,ONGC,BSE,128079876,INE213A01029,CNC,0,17,0,0,17,0,23/08/2025 00:00,{},17,0,0,,FALSE,278.355294,236.3,238.25,-714.939998,-1.95,-0.818467996,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
11,POWERMECH,BSE,138061316,INE211R01019,CNC,0,2,0,0,2,0,23/08/2025 00:00,{},2,0,0,,FALSE,3335.625,3211.7,3192.55,-247.85,19.149999999999636,0.5998339885044756,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
12,PRAJIND,NSE,692481,INE074A01025,CNC,0,36,0,0,36,0,23/08/2025 00:00,{},36,0,0,,FALSE,590.311111,407.6,412.8,-6577.599996,-5.2,-1.259689922,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
13,PRICOLLTD,NSE,5025537,INE726V01018,CNC,0,65,0,0,65,0,23/08/2025 00:00,{},65,0,0,,FALSE,491.107692,448.1,444.55,-2795.49998,3.5500000000000114,0.7985603419187968,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
14,SAMHI,BSE,139259908,INE08U801020,CNC,0,101,0,0,101,0,23/08/2025 00:00,{},101,0,0,,FALSE,193.087821,209.4,213,1647.5300790000015,-3.6,-1.690140845,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
15,SHAILY,BSE,128364292,INE151G01028,CNC,0,20,0,0,20,0,23/08/2025 00:00,{},20,0,0,,FALSE,1280.425,2115.05,2010.6,16692.500000000004,104.45000000000027,5.19496667661396,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
16,SONATSOFTW,NSE,1688577,INE269A01021,CNC,0,41,0,0,41,0,23/08/2025 00:00,{},41,0,0,,FALSE,540.120731,372.8,377.15,-6860.149971,-4.35,-1.153387246,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
17,SWIGGY,BSE,139336964,INE00H001014,CNC,0,56,0,0,56,0,23/08/2025 00:00,{},56,0,0,,FALSE,391.791071,428.3,435.05,2044.5000240000013,-6.75,-1.551545799,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
18,TIMETECHNO,NSE,3764993,INE508G01029,CNC,0,82,0,0,82,0,23/08/2025 00:00,{},82,0,0,,FALSE,406.17378,479.4,482,6004.550039999996,-2.6,-0.539419087,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
